=== Experiment Config ===
Scheduler: fifo
Backend: cycle_stub
Workload: synthetic
KeySwitchMethod: fast
Seed: 123
NumCards: 1
NumUsers: 1
EnableMultiCard: false
KeySwitchMultiBoardMode: auto
SyntheticRequestsPerUser: 1
SyntheticInterArrival: 300
SyntheticStartTime: 0
BurstBursts: 4
BurstRequestsPerUserPerBurst: 2
BurstIntraGap: 20
BurstInterGap: 1200
BurstStartTime: 0
BurstLevel: 1
NumPools: 1
PoolConfigSource: built-in default
TreeConfigSource: built-in default
HEParamsSource: built-in default
CSVOutput: results/metrics_fast.csv
DumpLogicalGraph: true
DumpRuntimePlan: true
=========================
Emitted group 132: mul_evalkey, kind=4, bytes=0, work_items=2, micro_ops=2, est_cycles/op=260, total_est_cycles=516, bram_live=7602176
Emitted group 133: accumulate, kind=5, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=258, total_est_cycles=258, bram_live=7340032
Emitted group 134: accumulate, kind=5, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=258, total_est_cycles=258, bram_live=7077888
Emitted group 135: bconv, kind=7, bytes=2097152, work_items=8, micro_ops=8, est_cycles/op=276, total_est_cycles=2068, bram_live=6815744
Emitted group 136: NTT, kind=2, bytes=0, work_items=1, micro_ops=1, est_cycles/op=4108, total_est_cycles=4108, bram_live=7077888
Emitted group 137: load_evalkey, kind=0, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=182, total_est_cycles=182, bram_live=7077888
Emitted group 138: mul_evalkey, kind=4, bytes=0, work_items=2, micro_ops=2, est_cycles/op=260, total_est_cycles=516, bram_live=7340032
Emitted group 139: load_evalkey, kind=0, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=182, total_est_cycles=182, bram_live=7340032
Emitted group 140: mul_evalkey, kind=4, bytes=0, work_items=2, micro_ops=2, est_cycles/op=260, total_est_cycles=516, bram_live=7602176
Emitted group 141: accumulate, kind=5, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=258, total_est_cycles=258, bram_live=7340032
Emitted group 142: accumulate, kind=5, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=258, total_est_cycles=258, bram_live=7077888
Emitted group 143: store_intermediate, kind=1, bytes=524288, work_items=0, micro_ops=2, est_cycles/op=182, total_est_cycles=346, bram_live=6815744
Emitted group 144: bconv, kind=7, bytes=2097152, work_items=8, micro_ops=8, est_cycles/op=276, total_est_cycles=2068, bram_live=6291456
Emitted group 145: NTT, kind=2, bytes=0, work_items=1, micro_ops=1, est_cycles/op=4108, total_est_cycles=4108, bram_live=6553600
Emitted group 146: load_evalkey, kind=0, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=182, total_est_cycles=182, bram_live=6553600
Emitted group 147: mul_evalkey, kind=4, bytes=0, work_items=2, micro_ops=2, est_cycles/op=260, total_est_cycles=516, bram_live=6815744
Emitted group 148: load_evalkey, kind=0, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=182, total_est_cycles=182, bram_live=6815744
Emitted group 149: mul_evalkey, kind=4, bytes=0, work_items=2, micro_ops=2, est_cycles/op=260, total_est_cycles=516, bram_live=7077888
Emitted group 150: bconv, kind=7, bytes=2097152, work_items=8, micro_ops=8, est_cycles/op=276, total_est_cycles=2068, bram_live=6815744
Emitted group 151: NTT, kind=2, bytes=0, work_items=1, micro_ops=1, est_cycles/op=4108, total_est_cycles=4108, bram_live=7077888
Emitted group 152: load_evalkey, kind=0, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=182, total_est_cycles=182, bram_live=7077888
Emitted group 153: mul_evalkey, kind=4, bytes=0, work_items=2, micro_ops=2, est_cycles/op=260, total_est_cycles=516, bram_live=7340032
Emitted group 154: load_evalkey, kind=0, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=182, total_est_cycles=182, bram_live=7340032
Emitted group 155: mul_evalkey, kind=4, bytes=0, work_items=2, micro_ops=2, est_cycles/op=260, total_est_cycles=516, bram_live=7602176
Emitted group 156: accumulate, kind=5, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=258, total_est_cycles=258, bram_live=7340032
Emitted group 157: accumulate, kind=5, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=258, total_est_cycles=258, bram_live=7077888
Emitted group 158: bconv, kind=7, bytes=2097152, work_items=8, micro_ops=8, est_cycles/op=276, total_est_cycles=2068, bram_live=6815744
Emitted group 159: NTT, kind=2, bytes=0, work_items=1, micro_ops=1, est_cycles/op=4108, total_est_cycles=4108, bram_live=7077888
Emitted group 160: load_evalkey, kind=0, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=182, total_est_cycles=182, bram_live=7077888
Emitted group 161: mul_evalkey, kind=4, bytes=0, work_items=2, micro_ops=2, est_cycles/op=260, total_est_cycles=516, bram_live=7340032
Emitted group 162: load_evalkey, kind=0, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=182, total_est_cycles=182, bram_live=7340032
Emitted group 163: mul_evalkey, kind=4, bytes=0, work_items=2, micro_ops=2, est_cycles/op=260, total_est_cycles=516, bram_live=7602176
Emitted group 164: accumulate, kind=5, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=258, total_est_cycles=258, bram_live=7340032
Emitted group 165: accumulate, kind=5, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=258, total_est_cycles=258, bram_live=7077888
Emitted group 166: store_intermediate, kind=1, bytes=524288, work_items=0, micro_ops=2, est_cycles/op=182, total_est_cycles=346, bram_live=6815744
Emitted group 167: bconv, kind=7, bytes=2097152, work_items=8, micro_ops=8, est_cycles/op=276, total_est_cycles=2068, bram_live=6291456
Emitted group 168: NTT, kind=2, bytes=0, work_items=1, micro_ops=1, est_cycles/op=4108, total_est_cycles=4108, bram_live=6553600
Emitted group 169: load_evalkey, kind=0, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=182, total_est_cycles=182, bram_live=6553600
Emitted group 170: mul_evalkey, kind=4, bytes=0, work_items=2, micro_ops=2, est_cycles/op=260, total_est_cycles=516, bram_live=6815744
Emitted group 171: load_evalkey, kind=0, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=182, total_est_cycles=182, bram_live=6815744
Emitted group 172: mul_evalkey, kind=4, bytes=0, work_items=2, micro_ops=2, est_cycles/op=260, total_est_cycles=516, bram_live=7077888
Emitted group 173: bconv, kind=7, bytes=2097152, work_items=8, micro_ops=8, est_cycles/op=276, total_est_cycles=2068, bram_live=6815744
Emitted group 174: NTT, kind=2, bytes=0, work_items=1, micro_ops=1, est_cycles/op=4108, total_est_cycles=4108, bram_live=7077888
Emitted group 175: load_evalkey, kind=0, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=182, total_est_cycles=182, bram_live=7077888
Emitted group 176: mul_evalkey, kind=4, bytes=0, work_items=2, micro_ops=2, est_cycles/op=260, total_est_cycles=516, bram_live=7340032
Emitted group 177: load_evalkey, kind=0, bytes=262144, work_items=1, micro_ops=1, est_cycles/op=182, total_est_cycles=182, bram_live=7340032
